NAME,TRACK2,TRACK2_EMV,TAG.57,PAN,EXPIRY,EMV_PAN_SEQ,EMV_ATC,TAG.9F37,DESCRIPTION,PIN,NEW_PIN,PINBLOCK,NEWPINBLOCK,RESP,EMV_RESP,BALANCE,AVAIL,CCY,NOTES,APPL_NAME,LAST_COLUMN
CARD0000001,4596220000000006=29122010000008755010,4596220000000006D29122010000008755010,4596220000000006D29122010000008755010,4596220000000006,2912,01,0001,00000001,HSBC (retail) VISA DEBIT - NFRB Classic,1234,5678,276C35F829F7D168,213C7BFB1A397FF7,00,3030,50000,30000,826,Test card,appl_a,
CARD0000002,4596220000000014=29122010000008755010,4596220000000014D29122010000008755010,4596220000000014D29122010000008755010,4596220000000014,2912,01,0001,00000001,HSBC (retail) VISA DEBIT - NFRB Classic,1234,5678,2C6E85B822053494,5BFA0B8EB4FD1201,00,3030,50000,30000,826,Test card,appl_a,
CARD0000003,4596220000000022=29122010000008755010,4596220000000022D29122010000008755010,4596220000000022D29122010000008755010,4596220000000022,2912,01,0001,00000001,HSBC (retail) VISA DEBIT - NFRB Classic,1234,5678,FFD5F85D85599E53,11B49DE28F2728BC,00,3030,50000,30000,826,Test card,appl_a,
CARD0000004,4596220000000030=29122010000008755010,4596220000000030D29122010000008755010,4596220000000030D29122010000008755010,4596220000000030,2912,01,0001,00000001,HSBC (retail) VISA DEBIT - NFRB Classic,1234,5678,8A46F9A37F8FCFD0,02B54BA89F8A0FF6,00,3030,50000,30000,826,Test card,appl_a,
CARD0000005,4596220000000048=29122010000008755010,4596220000000048D29122010000008755010,4596220000000048D29122010000008755010,4596220000000048,2912,01,0001,00000001,HSBC (retail) VISA DEBIT - NFRB Classic,1234,5678,BB9AE82359FE4A7B,1C8DF149B8510BBB,00,3030,50000,30000,826,Test card,appl_a,
CARD0000006,4596220000000055=29122010000008755010,4596220000000055D29122010000008755010,4596220000000055D29122010000008755010,4596220000000055,2912,01,0001,00000001,HSBC (retail) VISA DEBIT - NFRB Classic,1234,5678,97153146C8B256DA,0E11802064B1FB31,00,3030,50000,30000,826,Test card,appl_a,
CARD0000007,4596220000000063=29122010000008755010,4596220000000063D29122010000008755010,4596220000000063D29122010000008755010,4596220000000063,2912,01,0001,00000001,HSBC (retail) VISA DEBIT - NFRB Classic,1234,5678,515275E2043F53DA,A30DCF8E3D764880,00,3030,50000,30000,826,Test card,appl_a,
CARD0000008,4596220000000071=29122010000008755010,4596220000000071D29122010000008755010,4596220000000071D29122010000008755010,4596220000000071,2912,01,0001,00000001,HSBC (retail) VISA DEBIT - NFRB Classic,1234,5678,DAC39A3C3FE53202,25F4969910E2F45B,00,3030,50000,30000,826,Test card,appl_a,
CARD0000009,4596220000000089=29122010000008755010,4596220000000089D29122010000008755010,4596220000000089D29122010000008755010,4596220000000089,2912,01,0001,00000001,HSBC (retail) VISA DEBIT - NFRB Classic,1234,5678,66D7E6C6B1BCC01C,06E0CBC22B89E86E,00,3030,50000,30000,826,Test card,appl_a,
CARD0000010,4596220000000097=29122010000008755010,4596220000000097D29122010000008755010,4596220000000097D29122010000008755010,4596220000000097,2912,01,0001,00000001,HSBC (retail) VISA DEBIT - NFRB Classic,1234,5678,AAAD487F51CC4195,13A92EC68676C9B6,00,3030,50000,30000,826,Test card,appl_a,
CARD0000011,4596220000000105=29122010000008755010,4596220000000105D29122010000008755010,4596220000000105D29122010000008755010,4596220000000105,2912,01,0001,00000001,HSBC (retail) VISA DEBIT - NFRB Classic,1234,5678,285DD636E2E067C4,1ACC35B56BB5FDDA,00,3030,50000,30000,826,Test card,appl_a,
CARD0000012,4596220000000113=29122010000008755010,4596220000000113D29122010000008755010,4596220000000113D29122010000008755010,4596220000000113,2912,01,0001,00000001,HSBC (retail) VISA DEBIT - NFRB Classic,1234,5678,06E5529031346CA5,2957FFF9F95D839B,00,3030,50000,30000,826,Test card,appl_a,
